date,time,category,subcategory,amount,payment_method,memo,weekday
2024-01-02,12:30,식비,점심,8500,카드,,2
2024-01-02,19:45,식비,배달,24000,카드,퇴근하고 너무 피곤해서 치킨 시킴,2
2024-01-03,08:10,교통,지하철,1400,카드,,3
2024-01-03,13:00,식비,점심,9000,카드,,3
2024-01-03,21:30,쇼핑,온라인,35000,카드,스트레스 받아서 그냥 질러버림,3
2024-01-04,08:10,교통,지하철,1400,카드,,4
2024-01-04,12:30,식비,점심,7500,카드,,4
2024-01-04,18:00,카페,커피,6000,카드,,4
2024-01-05,09:00,마트,생필품,45000,카드,주말 장보기,5
2024-01-05,14:00,문화,영화,15000,카드,,5
2024-01-05,19:00,식비,외식,32000,카드,친구 만남,5
2024-01-06,11:00,식비,배달,18000,카드,집에서 쉬는 날,6
2024-01-06,16:00,카페,커피,5500,카드,,6
2024-01-06,23:00,쇼핑,온라인,67000,카드,새벽에 잠 못 자고 충동구매,6
2024-01-07,13:00,식비,외식,28000,카드,,0
2024-01-08,08:10,교통,지하철,1400,카드,,1
2024-01-08,12:30,식비,점심,8000,카드,,1
2024-01-09,08:10,교통,지하철,1400,카드,,2
2024-01-09,12:30,식비,점심,9500,카드,,2
2024-01-09,20:00,식비,배달,31000,카드,오늘 발표 망함 ㅠㅠ 위로가 필요해,2
2024-01-09,22:00,쇼핑,온라인,42000,카드,기분 전환하려고,2
2024-01-10,08:10,교통,지하철,1400,카드,,3
2024-01-10,12:00,식비,점심,8500,카드,,3
2024-01-10,18:30,카페,커피,6500,카드,,3
2024-01-11,08:10,교통,지하철,1400,카드,,4
2024-01-11,12:30,식비,점심,7000,카드,,4
2024-01-11,19:00,식비,배달,22000,카드,,4
2024-01-12,10:00,마트,생필품,38000,카드,,5
2024-01-12,14:00,문화,독서실,5000,카드,,5
2024-01-13,12:00,식비,외식,25000,카드,,6
2024-01-13,17:00,카페,커피,5000,카드,,6
2024-01-14,15:00,식비,외식,30000,카드,,0
2024-01-15,08:10,교통,지하철,1400,카드,,1
2024-01-15,12:30,식비,점심,8500,카드,,1
2024-01-15,20:30,식비,배달,28000,카드,,1
2024-01-16,08:10,교통,지하철,1400,카드,,2
2024-01-16,12:00,식비,점심,9000,카드,,2
2024-01-16,21:00,쇼핑,온라인,89000,카드,월급날 기념 선물,2
2024-01-17,08:10,교통,지하철,1400,카드,,3
2024-01-17,13:00,식비,점심,8000,카드,,3
2024-01-17,19:30,카페,커피,7000,카드,야근 중 커피,3
2024-01-18,08:10,교통,지하철,1400,카드,,4
2024-01-18,12:30,식비,점심,7500,카드,,4
